Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
MULTICLASS | BATCH_SIZE: 1024 | 8 - 16 - 8 | with address information | with tweaked class weights,14,100,all/Connection.csv,1517.2422711849213,76276,12298,9397769,8,0.9599031017556031,0.8611556438684038,0.9998951287294846,"=""{0: 9792542, 1: 77262, 2: 1772, 3: 4, 4: 68123, 5: 22913}""","=""{0: 9401251, 1: 88591, 2: 48617, 4: 373421, 5: 50736}""",29887846,9962616,0.25,1.70%,1.71%,0.925353940967378
MULTICLASS | BATCH_SIZE: 1024 | 8 - 16 - 8 | without address information,8,100,all/Connection.csv,905.7639887332916,77332,8403,9768877,10,0.9949469095265742,0.9019886860675337,0.999870704145225,"=""{0: 9792722, 1: 77347, 2: 1693, 3: 5, 4: 67899, 5: 22950}""","=""{0: 9795148, 1: 85759, 4: 46644, 5: 35065}""",29887846,9962616,0.25,1.70%,1.71%,0.9484108733910974
MULTICLASS | BATCH_SIZE: 1024 | 8 - 16 - 8 | without address information | with class weights,7,100,all/Connection.csv,828.6158945560455,76965,10179,9320582,65,0.9522097408953633,0.8831933351693748,0.9991561729196416,"=""{0: 9792800, 1: 77069, 2: 1669, 3: 4, 4: 68070, 5: 23004}""","=""{0: 9323975, 1: 87165, 2: 66768, 4: 359188, 5: 125520}""",29887846,9962616,0.25,1.70%,1.70%,0.9376027872866592
MULTICLASS | BATCH_SIZE: 1024 | 8 - 16 - 8 | without address information | with tweaked class weights,15,100,all/Connection.csv,1582.3836908340454,77189,9039,9211238,7,0.9412497681331892,0.8951732615855639,0.9999093217265144,"=""{0: 9793059, 1: 77203, 2: 1701, 3: 1, 4: 67629, 5: 23023}""","=""{0: 9214459, 1: 86287, 2: 11608, 3: 234473, 4: 380638, 5: 35151}""",29887846,9962616,0.25,1.71%,1.70%,0.9446470530644214
MULTICLASS | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,8,100,all/Connection.csv,1063.6142404079437,77187,9309,9767845,8,0.9968855569661623,0.8923765260821309,0.9998963663449705,"=""{0: 9792529, 1: 77200, 2: 1761, 3: 7, 4: 68249, 5: 22870}""","=""{0: 9771251, 1: 87703, 4: 71160, 5: 32502}""",29887846,9962616,0.25,1.70%,1.71%,0.9430817821382972
MULTICLASS | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,10,100,all/Connection.csv,1312.6421158313751,77143,9146,9638627,0,0.9842199077029568,0.894007347402334,1.0,"=""{0: 9792663, 1: 77146, 2: 1760, 3: 7, 4: 68123, 5: 22917}""","=""{0: 9641273, 1: 86302, 2: 61440, 4: 72636, 5: 100965}""",29887846,9962616,0.25,1.70%,1.71%,0.9440378873170493
MULTICLASS | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,16,100,all/Connection.csv,1940.5441823005676,77290,28724,9695446,5,0.9898805695210977,0.7290546531590167,0.9999353127627919,"=""{0: 9792944, 1: 77298, 2: 1771, 3: 3, 4: 67498, 5: 23102}""","=""{0: 9698309, 1: 106029, 2: 2264, 3: 852, 4: 70744, 5: 84418}""",29887846,9962616,0.25,1.71%,1.70%,0.843275562029142
MULTICLASS | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,6,100,all/Connection.csv,807.5434014797211,77039,8475,9767756,6,0.9951731553238627,0.9008934209603106,0.9999221234343565,"=""{0: 9792889, 1: 77107, 2: 1697, 3: 7, 4: 67826, 5: 23090}""","=""{0: 9788967, 1: 85532, 4: 53028, 5: 35089}""",29887846,9962616,0.25,1.70%,1.70%,0.9478281731555928
MULTICLASS | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,6,100,all/Connection.csv,831.526773929596,77209,16477,9266002,10,0.9467242338759218,0.8241252695173238,0.9998704981934498,"=""{0: 9792444, 1: 77286, 2: 1762, 3: 5, 4: 68031, 5: 23088}""","=""{0: 9270097, 1: 93702, 2: 6148, 4: 449687, 5: 142982}""",29887846,9962616,0.25,1.70%,1.71%,0.9035312015447178
MULTICLASS | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,16,100,all/Connection.csv,1951.109341621399,75696,910923,8429644,898,0.8626285505734639,0.076722625451162,0.9882758440608925,"=""{0: 9793808, 1: 76600, 2: 1687, 3: 5, 4: 67659, 5: 22857}""","=""{0: 8433351, 1: 987285, 2: 11170, 3: 6721, 4: 488633, 5: 35456}""",29887846,9962616,0.25,1.71%,1.69%,0.14239103547454746
